"Pop","Days","Flowers"
"NYLV",4,2.46153846153846
"NYLV",5,3.07692307692308
"NYLV",6,3.69230769230769
"NYLV",7,4.30769230769231
"NYLV",8,4.92307692307692
"NYLV",9,5.53846153846154
"NYLV",10,6.15384615384615
"NYLV",11,6.76923076923077
"NYLV",12,7.38461538461539
"NYLV",13,8
"NYLV",14,6.4
"NYLV",15,4.8
"NYLV",16,3.2
"NYLV",17,1.6
"NYLV",18,0
"NYLV",19,175.8
"NYLV",20,351.6
"NYLV",21,527.4
"NYLV",22,703.2
"NYLV",23,879
"NYLV",24,734.2
"NYLV",25,589.4
"NYLV",26,444.6
"NYLV",27,299.8
"NYLV",28,155
"NYLV",29,221.8
"NYLV",30,288.6
"NYLV",31,355.4
"NYLV",32,422.2
"NYLV",33,489
"NYLV",34,488.4
"NYLV",35,487.8
"NYLV",36,487.2
"NYLV",37,486.6
"NYLV",38,486
"NYLV",39,388.8
"NYLV",40,291.6
"NYLV",41,194.4
"NYLV",42,97.2
"NYLV",43,0
"NYLV",44,47.8
"NYLV",45,95.6
"NYLV",46,143.4
"NYLV",47,191.2
"NYLV",48,239
"NYLV",49,251
"NYLV",50,263
"NYLV",51,275
"NYLV",52,287
"NYLV",53,299
"NYLV",54,245.6
"NYLV",55,192.2
"NYLV",56,138.8
"NYLV",57,85.4
"NYLV",58,32
"NYLV",59,25.6
"NYLV",60,19.2
"NYLV",61,12.8
"NYLV",62,6.4
"NYLV",63,0
"NYLV",64,0
"NYLV",65,0
"NYLV",66,0
"NYLV",67,0
"NYLV",68,0
"NYLV",69,0
"NYLV",70,0
"NYLV",71,0
"NYLV",72,0
"NYLV",73,0
"NYLV",74,0
"NYLV",75,0
"NYLV",76,0
"NYLV",77,0
"NYLV",78,0
"NYLV",79,0
"NYLV",80,0
"NYLV",81,0
"NYLV",82,0
"NYLV",83,0
"NYLV",84,0
"NYLV",85,0
"NYLV",86,0
"NYLV",87,0
"NYLV",88,0
"NYLV",89,0
"NYLV",90,0
"NYLV",91,0
"NYLV",92,0
"NYLV",93,0
"NYLV",94,0
"NYLV",95,0
"NYLV",96,0
"NYLV",97,0
"NYLV",98,0
"NYLV",99,0
