Num,Row,Fam,Pop,Lat,Start,End,Duration,Veg,PC1,HinfW,TotFlwr,d0,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60
319,3c,F17,ONRO,45.2627778,23,NA,NA,100,-0.2664573,0.23,29,8,18,0,3,0,0,0,0,0,0,0,0,0
320,3c,G3,ONPG,44.5948889,24,NA,NA,112,0.14323942,1.85,510,3,46,71,89,152,59,90,0,0,0,0,0,0
321,3c,T14,MDDB,38.7526111,59,78,19,153,3.42170114,3.05,129,7,0,107,15,0,0,0,0,0,0,0,0,0
322,3c,L4,NYSC,42.5230556,33,67,34,138,1.43738132,12.06,1243,15,41,78,173,364,467,105,0,0,0,0,0,0
324,3c,J13,NYLV,43.6971944,18,67,49,128.5,0.26788685,68.79,4375,2,57,101,137,486,738,880,915,1040,19,0,0,0
325,3c,A5,ONTI,48.4789167,9,NA,NA,95,-1.2451387,2.76,362,4,26,1,15,33,58,56,55,62,47,5,0,0
326,3c,M14,NYCH,42.2382222,17,66,49,NA,NA,58.89,7110,18,108,178,654,931,1673,1900,802,771,75,0,0,0
327,3c,J19,NYLV,43.6971944,16,65,49,120,-0.0991469,37.18,4768,1,60,104,241,480,484,741,1152,1215,290,0,0,0
329,3d,P15,NJHP,41.3128333,23,80,57,142,0.95929144,25.47,3717,4,9,11,38,667,156,286,991,932,458,150,15,0
330,3d,S6,NJPT,40.34025,28,69,41,130,0.90649144,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
332,3d,F19,ONRO,45.2627778,16,NA,NA,80.5,-1.2519344,6.08,62,8,25,20,9,0,0,0,0,0,0,0,0,0
334,3d,L3,NYSC,42.5230556,8,67,59,NA,NA,5.44,665,8,0,8,54,0,32,0,78,0,49,376,60,0
335,3d,L19,NYSC,42.5230556,21,75,54,124,0.31500499,10.4,1439,2,3,12,62,223,178,0,448,335,165,11,0,0
336,3d,F10,ONRO,45.2627778,11,NA,NA,97,-1.0678042,0.55,70,6,26,20,8,8,0,0,2,0,0,0,0,0
340,3d,P10,NJHP,41.3128333,37,75,38,153,2.11307986,1.93,57,2,0,0,0,0,9,30,16,0,0,0,0,0
341,3d,A16,ONTI,48.4789167,9,53,44,111,-0.7781869,1.74,467,2,20,44,81,76,85,88,41,30,0,0,0,0
342,3d,I2,ONWH,45.49,17,NA,NA,83,-1.1194904,0,43,9,18,10,6,0,0,0,0,0,0,0,0,0
343,3d,F9,ONRO,45.2627778,21,55,34,114,0.02316005,0.65,51,2,4,2,3,26,10,4,0,0,0,0,0,0
344,3d,M8,NYCH,42.2382222,20,72,52,131,0.45981366,90.42,12213,25,110,593,581,1037,2620,2108,2866,1942,331,0,0,0
345,3d,G19,ONPG,44.5948889,13,61,48,103,-0.7737317,3.01,822,4,0,54,0,0,114,612,0,36,2,0,0,0
346,3d,G17,ONPG,44.5948889,17,57,40,92,-0.8568299,1.78,333,16,51,100,107,52,0,0,7,0,0,0,0,0
348,3d,E5,ONNO,45.4319444,17,44,27,94,-0.798461,0.71,258,5,45,76,69,57,6,0,0,0,0,0,0,0
349,3e,H4,ONDM,44.4933889,21,60,39,119,0.16908252,24.41,5197,10,21,379,1262,1234,1016,1106,169,0,0,0,0,0
351,3e,M17,NYCH,42.2382222,30,89,59,118,0.6752431,6.36,12,2,0,10,0,0,0,0,0,0,0,0,0,0
352,3e,L9,NYSC,42.5230556,30,64,34,110,0.44176715,0,35,3,5,16,11,0,0,0,0,0,0,0,0,0
353,3e,H10,ONDM,44.4933889,16,55,39,120,-0.0991469,0.5,99,2,6,4,2,7,43,23,12,0,0,0,0,0
354,3e,J7,NYLV,43.6971944,34,68,34,NA,NA,29.28,643,9,38,119,199,274,4,0,0,0,0,0,0,0
355,3e,L5,NYSC,42.5230556,30,70,40,126,0.90871904,24.82,1374,5,0,103,88,93,587,401,97,0,0,0,0,0
357,3e,H11,ONDM,44.4933889,16,61,45,100,-0.6828368,14.25,1592,11,0,57,48,341,378,229,316,212,0,0,0,0
359,3e,M7,NYCH,42.2382222,21,61,40,144,0.89869485,18.39,2902,6,44,89,322,608,851,859,123,0,0,0,0,0
361,3e,H14,ONDM,44.4933889,16,60,44,94,-0.8579437,21.7,2444,11,0,88,92,368,338,635,740,172,0,0,0,0
362,3e,E2,ONNO,45.4319444,17,NA,NA,75,-1.3529663,0.75,184,11,62,46,30,31,4,0,0,0,0,0,0,0
363,3e,S14,NJPT,40.34025,62,NA,NA,147,3.42504253,1.61,206,9,114,83,0,0,0,0,0,0,0,0,0,0
364,3e,G19,ONPG,44.5948889,14,53,39,96,-0.9185403,0,47,3,0,1,3,3,3,18,16,0,0,0,0,0
367,3e,B19,ONEC,47.6908056,17,NA,NA,NA,NA,NA,66,39,20,3,4,0,0,0,0,0,0,0,0,0
368,3e,S12,NJPT,40.34025,49,83,34,173,3.41056315,22.65,852,20,89,417,211,83,20,12,0,0,0,0,0,0
369,3e,H10,ONDM,44.4933889,17,61,44,112,-0.2731401,20.38,3571,8,70,90,334,526,882,827,538,296,0,0,0,0
370,3e,H11,ONDM,44.4933889,11,71,60,100,-0.9802507,14.72,1414,10,55,88,90,124,464,228,150,125,0,45,33,2
371,3f,S3,NJPT,40.34025,37,86,49,158,2.25900233,23.63,1501,3,12,0,25,156,586,465,114,90,50,0,0,0
372,3f,P5,NJHP,41.3128333,43,78,35,158,2.61589904,56.71,6002,37,678,945,1997,1175,940,230,0,0,0,0,0,0
373,3f,F12,ONRO,45.2627778,17,49,32,125,0.10625834,NA,13,4,1,4,2,2,0,0,0,0,0,0,0,0
374,3f,L6,NYSC,42.5230556,16,78,62,122,-0.0407779,38.56,2363,3,2,0,5,33,394,583,483,450,180,190,35,5
375,3f,F13,ONRO,45.2627778,23,39,16,94,-0.4415642,0,23,3,12,8,0,0,0,0,0,0,0,0,0,0
376,3f,G13,ONPG,44.5948889,17,61,44,115,-0.1855866,17.62,2190,2,43,40,70,264,458,967,206,140,0,0,0,0
377,3f,J13,NYLV,43.6971944,29,70,41,140,1.25781916,36.14,2197,2,33,39,113,471,996,508,35,0,0,0,0,0
378,3f,A1,ONTI,48.4789167,18,61,43,106,-0.3887642,3.35,330,1,13,0,50,36,72,92,61,5,0,0,0,0
379,3f,P3,NJHP,41.3128333,20,65,45,NA,NA,24.61,2472,13,35,54,58,113,448,214,444,1077,16,0,0,0
380,3f,E9,ONNO,45.4319444,16,51,35,107,-0.4785453,1.17,305,14,0,56,30,82,91,32,0,0,0,0,0,0
381,3f,M3,NYCH,42.2382222,22,66,44,138,0.78307068,43.61,3493,1,69,90,351,0,1195,838,849,100,0,0,0,0
